[INFO] [1764535159.644727876] [cg_autonomous_navigator]: Tentando conectar ao serviço /get_map...
[INFO] [1764535159.644883183] [cg_autonomous_navigator]: Serviço /get_map disponível, enviando request...
[INFO] [1764535159.645961892] [cg_autonomous_navigator]: Modo EXPLORE: O robô está 'cego' e deve mapear o labirinto.
[INFO] [1764535159.646026346] [cg_autonomous_navigator]: Dimensões do mapa recebidas: 29x29. O robô começa em (1, 1).
[INFO] [1764535159.694718079] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 1)
[INFO] [1764535159.744729396] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 1)
[INFO] [1764535159.794725494] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 2)
[INFO] [1764535159.844732389] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 3)
[INFO] [1764535159.894724546] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 3)
[INFO] [1764535159.944723654] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 3)
[INFO] [1764535159.994724817] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (6, 3)
[INFO] [1764535160.044701669] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 3)
[INFO] [1764535160.094731754] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 4)
[INFO] [1764535160.144720062] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 5)
[INFO] [1764535160.194730584] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 6)
[INFO] [1764535160.244726515] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 7)
[INFO] [1764535160.294725566] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (8, 7)
[INFO] [1764535160.344742104] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 6)
[INFO] [1764535160.444744356] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 5)
[INFO] [1764535160.494751563] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (10, 5)
[INFO] [1764535160.544735927] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 5)
[INFO] [1764535160.594743556] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (12, 5)
[INFO] [1764535160.644746021] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (13, 5)
[INFO] [1764535160.694735899] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (14, 5)
[INFO] [1764535160.744749858] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (15, 5)
[INFO] [1764535160.794726059] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (15, 6)
[INFO] [1764535160.844750013] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (14, 7)
[INFO] [1764535160.944767429] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (13, 7)
[INFO] [1764535160.994737810] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (13, 8)
[INFO] [1764535161.044765150] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (13, 9)
[INFO] [1764535161.094744008] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (13, 10)
[INFO] [1764535161.144750541] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (12, 11)
[INFO] [1764535161.244738320] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 10)
[INFO] [1764535161.344743592] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (10, 9)
[INFO] [1764535161.444751992] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 8)
[INFO] [1764535161.544757767] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 9)
[INFO] [1764535161.694759215] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (8, 9)
[INFO] [1764535161.744762979] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 9)
[INFO] [1764535161.794752248] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (6, 9)
[INFO] [1764535161.844775320] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 9)
[INFO] [1764535161.894762315] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 10)
[INFO] [1764535161.944776084] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 11)
[INFO] [1764535161.994784163] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 12)
[INFO] [1764535162.044777263] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 13)
[INFO] [1764535162.144892320] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 13)
[INFO] [1764535162.194897382] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 13)
[INFO] [1764535162.244742947] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 12)
[INFO] [1764535162.344863354] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 11)
[INFO] [1764535162.394875729] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 11)
[INFO] [1764535162.444767602] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 10)
[INFO] [1764535162.544770049] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 9)
[INFO] [1764535162.644780558] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 8)
[INFO] [1764535162.744776982] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 7)
[INFO] [1764535162.794776940] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 7)
[INFO] [1764535162.844783274] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 7)
[INFO] [1764535162.894779330] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 7)
[INFO] [1764535162.944782037] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 6)
[INFO] [1764535163.044769426] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 5)
[INFO] [1764535163.144772845] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 5)
[INFO] [1764535163.194789933] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 5)
[INFO] [1764535163.244778904] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 4)
[INFO] [1764535163.344787070] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 14)
[INFO] [1764535164.444797386] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 15)
[INFO] [1764535164.494793780] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 16)
[INFO] [1764535164.544791202] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 17)
[INFO] [1764535164.594806372] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 17)
[INFO] [1764535164.644828754] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 17)
[INFO] [1764535164.694819665] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 18)
[INFO] [1764535164.744813859] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 19)
[INFO] [1764535164.794796176] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 20)
[INFO] [1764535164.844847662] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 21)
[INFO] [1764535164.944860023] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 20)
[INFO] [1764535165.044833306] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 22)
[INFO] [1764535165.144806779] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 23)
[INFO] [1764535165.194843927] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 23)
[INFO] [1764535165.244817593] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 23)
[INFO] [1764535165.294818490] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 24)
[INFO] [1764535165.344806294] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 25)
[INFO] [1764535165.444803940] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 25)
[INFO] [1764535165.494845560] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 26)
[INFO] [1764535165.544806563] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 27)
[INFO] [1764535165.594811850] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 27)
[INFO] [1764535165.644805798] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 27)
[INFO] [1764535165.694850775] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 27)
[INFO] [1764535165.744815501] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 26)
[INFO] [1764535165.844812110] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 25)
[INFO] [1764535165.894820214] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 24)
[INFO] [1764535165.944813014] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 23)
[INFO] [1764535165.994836835] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 22)
[INFO] [1764535166.044819154] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 21)
[INFO] [1764535166.094905603] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (6, 21)
[INFO] [1764535166.144817662] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 21)
[INFO] [1764535166.194825172] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 22)
[INFO] [1764535166.244820562] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 23)
[INFO] [1764535166.294830396] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 24)
[INFO] [1764535166.344940341] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 25)
[INFO] [1764535166.394821687] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 26)
[INFO] [1764535166.444827206] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 27)
[INFO] [1764535166.494925555] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (8, 27)
[INFO] [1764535166.544911232] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 26)
[INFO] [1764535166.644934981] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 25)
[INFO] [1764535166.694889432] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 24)
[INFO] [1764535166.744830038] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 23)
[INFO] [1764535166.794862201] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (10, 23)
[INFO] [1764535166.844821154] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 22)
[INFO] [1764535166.944850184] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 21)
[INFO] [1764535166.994849920] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 20)
[INFO] [1764535167.044831099] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 19)
[INFO] [1764535167.094829839] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 18)
[INFO] [1764535167.144842991] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 17)
[INFO] [1764535167.194832854] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 16)
[INFO] [1764535167.244936341] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 15)
[INFO] [1764535167.294825808] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 14)
[INFO] [1764535167.344849408] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (10, 13)
[INFO] [1764535167.444823923] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 12)
[INFO] [1764535167.544819499] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (8, 11)
[INFO] [1764535167.644822014] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 12)
[INFO] [1764535167.744827332] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 13)
[INFO] [1764535167.794824366] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (12, 13)
[INFO] [1764535168.244834176] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (13, 13)
[INFO] [1764535168.294928232] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (14, 13)
[INFO] [1764535168.344834818] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (15, 12)
