[INFO] [1764463877.510007587] [cg_autonomous_navigator]: Tentando conectar ao serviço /get_map...
[INFO] [1764463877.510158192] [cg_autonomous_navigator]: Serviço /get_map disponível, enviando request...
[INFO] [1764463877.511458394] [cg_autonomous_navigator]: Mapa recebido: 29x29
[INFO] [1764463878.010194365] [cg_autonomous_navigator]: Caminho calculado com 103 passos.
[INFO] [1764463878.012067883] [cg_autonomous_navigator]: Movimento para (2, 1) bem-sucedido.
[WARN] [1764463878.509946603] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463879.009950019] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463879.509964101] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463880.009968362] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463880.509969957] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463881.010065551] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463881.510027316] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463882.010002082] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463882.509993362] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463883.009995878] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463883.510014776] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463884.010043964] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463884.510042695] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463885.010054911] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463885.510103564] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463886.010064994] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463886.510080512] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463887.010069484] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463887.510101698] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463888.010095432] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463888.510091059] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463889.010113336] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463889.510098278] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463890.010099491] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463890.510105332] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463891.010132053] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463891.510220092] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463892.010128226] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463892.510134484] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463893.010155496] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463893.510249621] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463894.010187112] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463894.510225704] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463895.010224962] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463895.510210245] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
[WARN] [1764463896.010303790] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 1)
