[INFO] [1764534100.302266757] [cg_autonomous_navigator]: Tentando conectar ao serviço /get_map...
[INFO] [1764534100.302493837] [cg_autonomous_navigator]: Serviço /get_map disponível, enviando request...
[INFO] [1764534100.305341591] [cg_autonomous_navigator]: Modo EXPLORE: O robô está 'cego' e deve mapear o labirinto.
[INFO] [1764534100.305386247] [cg_autonomous_navigator]: Dimensões do mapa recebidas: 29x29. O robô começa em (1, 1).
[INFO] [1764534100.352219466] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 1)
[INFO] [1764534100.402230977] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 1)
[INFO] [1764534100.452201084] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 1)
[INFO] [1764534100.502200435] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 1)
[INFO] [1764534100.552226643] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (6, 1)
[INFO] [1764534100.602204414] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 1)
[INFO] [1764534100.652215457] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (8, 1)
[INFO] [1764534100.702272656] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 1)
[INFO] [1764534100.752225302] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (10, 1)
[INFO] [1764534100.802215733] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 1)
[INFO] [1764534100.852274483] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (12, 1)
[INFO] [1764534100.902217514] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (13, 1)
[INFO] [1764534100.952257905] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (14, 1)
[INFO] [1764534101.002260850] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (15, 1)
[INFO] [1764534101.052184470] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (16, 1)
[INFO] [1764534101.102249855] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (17, 1)
[INFO] [1764534101.152230796] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (18, 1)
[INFO] [1764534101.202231783] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (19, 1)
[INFO] [1764534101.252213582] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (20, 1)
[INFO] [1764534101.302246152] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (21, 1)
[INFO] [1764534101.352235159] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (22, 1)
[INFO] [1764534101.402215590] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (23, 1)
[INFO] [1764534101.452269757] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (24, 1)
[INFO] [1764534101.502219480] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (25, 1)
[INFO] [1764534101.552220063] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (26, 1)
[INFO] [1764534101.602253071] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (27, 1)
[INFO] [1764534101.652267152] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 2)
[INFO] [1764534103.002290881] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 3)
[INFO] [1764534103.052357535] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 3)
[INFO] [1764534103.152280174] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 3)
