[INFO] [1764534486.798574958] [cg_autonomous_navigator]: Tentando conectar ao serviço /get_map...
[INFO] [1764534486.815285401] [cg_autonomous_navigator]: Serviço /get_map disponível, enviando request...
[INFO] [1764534486.816657136] [cg_autonomous_navigator]: Modo EXPLORE: O robô está 'cego' e deve mapear o labirinto.
[INFO] [1764534486.816699838] [cg_autonomous_navigator]: Dimensões do mapa recebidas: 29x29. O robô começa em (1, 1).
[INFO] [1764534486.848541746] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 2)
[INFO] [1764534486.898534345] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 3)
[INFO] [1764534486.948583282] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 4)
[INFO] [1764534486.998603476] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 5)
[INFO] [1764534487.048555857] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 6)
[INFO] [1764534487.098557206] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 7)
[INFO] [1764534487.148572497] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 8)
[INFO] [1764534487.198537454] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 9)
[INFO] [1764534487.248538787] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 9)
[INFO] [1764534487.298540276] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 9)
[INFO] [1764534487.348551351] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 10)
[INFO] [1764534487.398541505] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 11)
[INFO] [1764534487.448564555] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 12)
[INFO] [1764534487.498610011] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 13)
[INFO] [1764534487.598545743] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 12)
[INFO] [1764534487.698516723] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 14)
[INFO] [1764534487.798574864] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 15)
[INFO] [1764534487.848609300] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 15)
[INFO] [1764534487.898573584] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 15)
[INFO] [1764534487.948577086] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 15)
[INFO] [1764534487.998549976] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 14)
[INFO] [1764534488.098678638] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 13)
[INFO] [1764534488.148572931] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 12)
[INFO] [1764534488.198684000] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 11)
[INFO] [1764534488.248630228] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (6, 11)
[INFO] [1764534488.298553986] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 11)
[INFO] [1764534488.348555616] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (8, 11)
[INFO] [1764534488.398555646] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 11)
[INFO] [1764534488.448587524] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 12)
[INFO] [1764534488.498594375] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 13)
[INFO] [1764534488.548673211] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (10, 13)
[INFO] [1764534488.598585436] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 13)
[INFO] [1764534488.648648018] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 14)
[INFO] [1764534488.698563634] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 15)
[INFO] [1764534488.748606199] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (11, 16)
[INFO] [1764534488.798601392] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (10, 17)
[INFO] [1764534488.898566969] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (9, 16)
[INFO] [1764534488.998566741] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (8, 15)
[INFO] [1764534489.098566554] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 14)
[INFO] [1764534489.198646640] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 16)
[INFO] [1764534489.298597910] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 17)
[INFO] [1764534489.348542081] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 18)
[INFO] [1764534489.398607231] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 19)
[INFO] [1764534489.448575486] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 20)
[INFO] [1764534489.498650996] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 21)
[INFO] [1764534489.548582452] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (7, 22)
[INFO] [1764534489.598577527] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (6, 23)
[INFO] [1764534489.698609123] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 22)
[INFO] [1764534489.798580596] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 21)
[INFO] [1764534489.848579838] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (5, 20)
[INFO] [1764534489.898580150] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 19)
[INFO] [1764534489.998657773] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 19)
[INFO] [1764534490.048581379] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 19)
[INFO] [1764534490.098581974] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 18)
[INFO] [1764534490.198584787] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (2, 17)
[INFO] [1764534490.298698213] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (3, 17)
[INFO] [1764534490.348621947] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (4, 17)
[INFO] [1764534490.398681000] [cg_autonomous_navigator]: Mapeando: Novo alvo de exploração: (1, 20)
